Type,Filename,MCZ number,Genus,species,Skin patch or microfossil,Sample location (letter),subsample location,Notes/Questions,Ichthyolith Type,Shape,Spades,Anterior shape (old Base),Anterior Marginal Macro Texture,Anterior Marginal Micro Texture,Posterior shape (old Tip),Posterior Marginal Macro Texture,Posterior Marginal Micro Texture Description,Planes of Symmetry,# of cusps,Cusps definition,Cusp Similarity,Cusp Relative Length,Ridge System,Number of ridge segments,Number of independent ridges,Ridge Outgrowths,Ridge Orientation,Central Ridge(s) or trough Disparity,Central Ridge Directionality,Central Ridge Width,Non-Central Ridge Directionality,Non-Central Ridge Width,Central Ridge System Shape,Central Ridge System Shape planes of symmetry,Ridge length,Ridge Definition,Ridge/Ridge Height,Ridge/Trough Angularity,# of depression,Depression(s) type,Location of depression,Shape of dimple(s),Secondary Ridge Features,Overall base shape,Base width/length,Crown to base ratio,Number of Grooves,Root foramen opening shape,Root foramen location,Peduncle height:width,Crown:root angle,Base to crown connection location,Mound,Notes,Numerical Only Code (autofills),Ichthyolith Type,Shape,Spades,Anterior shape (old Base),Anterior Marginal Macro Texture,Anterior Marginal Micro Texture,Posterior shape (old Tip),Posterior Marginal Macro Texture,Posterior Marginal Micro Texture Description,Planes of Symmetry,# of cusps,Cusps definition,Cusp Similarity,Cusp Relative Length,Ridge System,Number of ridge segments,Number of independent ridges,Ridge Outgrowths,Ridge Orientation,Central Ridge(s) or trough Disparity,Central Ridge Directionality,Central Ridge Width,Non-Central Ridge Directionality,Non-Central Ridge Width,Central Ridge System Shape,Central Ridge System Shape planes of symmetry,Ridge length,Ridge Definition,Ridge/Ridge Height,Ridge/Trough Angularity,# of depression,Depression(s) type,Location of depression,Shape of dimple(s),Secondary Ridge Features,Overall base shape,Mound,Base width/length,Crown to base ratio,Number of Grooves,Root foramen opening shape,Root foramen location,Peduncle height:width,Crown:root angle,Base to crown connection location
Type,Filename,MCZ number,Genus,species,Skin patch or microfossil,Sample location (letter),subsample location,Notes/Questions,Z1,A1,A2,B1,B2,B3,C1,C2,C3,D1,E1,E2,E3,E4,F1,G1,G2,G3,H1,I1,I2,I3,J1,J2,K1,K2,L1,L2,L3,L4,M1,M2,M3,M4,N1,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,Notes,,Z1,A1,A2,B1,B2,B3,C1,C2,C3,D1,E1,E2,E3,E4,F1,G1,G2,G3,H1,I1,I2,I3,J1,J2,K1,K2,L1,L2,L3,L4,M1,M2,M3,M4,N1,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
,MCZ32340_Mustelus_manzo_microfossil_A.tif,MCZ32340,Mustelus,manzo,mircofossil,A,,,Z1.2.Denticle,A1.3 Circular or oval,A2.2 Squared Spade,B1.2 Rounded,B2.1 Smooth,B3.1 Smooth,C1.2 Rounded,C2.2 Scalloped margin texture,C3.1 Smooth,D1.1 None,E1.1 None,E2.1 Ridges not associated with cusps,E3.1 Cusps are same length/width/shape,E4.1 x < ¼ ,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.3 two,G2.1 None,G3.2 one ridge outgrowth,H1.3 Diverges from anterior,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.1 Straight,J2.5 Creates Troughs,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.1 Not Clearly Defined,L3.0 None or too broken to code,L4.2 Ridge profiles or troughs are triangular,M1.1 None,M2.1 Thumbprint (surface layer),M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,No show of a upside down denticle,,2,3,2,2,1,1,2,2,1,1,1,1,1,1,2,3,1,2,3,1,0,0,1,5,1,0,2,1,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
,MCZ32340_Mustelus_manzo_microfossil_B.tif,MCZ32340,Mustelus,manzo,mircofossil,B,,check ,Z1.2.Denticle,A1.5 Diamond/Rectangle/(Can be asymmetrical/kite-like),A2.1 Rounded Spade,B1.2 Rounded,B2.3 Pointed margin texture,B3.1 Smooth,C1.1 Straight,C2.1 Smooth,C3.1 Smooth,D1.1 None,E1.1 None,E2.1 Ridges not associated with cusps,E3.1 Cusps are same length/width/shape,E4.1 x < ¼ ,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.4 three,G2.5 four,G3.1 no ridge outgrowths,H1.2 Converges from anterior,I1.4 Distinct shape/size from other ridges,I2.2 Curved,I3.5 Creates a Central Trough,J1.1 Straight,J2.5 Creates Troughs,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.2 Clearly defined on part of the crown but gets shallower and does not extend to full length of denticle,L3.2 equal ridge heights,L4.3 Ridge profiles or troughs are funnel shapes (rounded with a skinnier point),M1.0 Too broken to code,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,No show of a upside down denticle,,2,5,1,2,3,1,1,1,1,1,1,1,1,1,2,4,5,1,2,4,2,5,1,5,1,0,2,2,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,MCZ32340_Mustelus_manzo_microfossil_C.tif,MCZ32340,Mustelus,manzo,mircofossil,C,,check ,Z1.2.Denticle,A1.9 Triangular or Arrow-like,A2.0 Not a Spade/too broken to code,B1.1 Straight (edge),B2.1 Smooth,B3.1 Smooth,C1.3 Pointed,C2.1 Smooth,C3.1 Smooth,D1.2 one,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.5 four,G2.5 four,G3.1 no ridge outgrowths,H1.1 Parallel,I1.4 Distinct shape/size from other ridges,I2.1 Straight,I3.1 Parallel,J1.1 Straight,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,"L1.5 Includes ridges described by a combination of 1,2, 3,",L2.2 Clearly defined on part of the crown but gets shallower and does not extend to full length of denticle,L3.3 Variable ridge height,L4.1 Ridge profiles or trough are rounded,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,O1.1 Kite shaped,O2.2 Wider than long,O3.2 Crown has a larger area,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.3 Parallel,O9.1 at anterior of crown,O10.1 Not mounded,No show of a upside down denticle,,2,9,0,1,1,1,3,1,1,2,1,0,0,0,2,5,5,1,1,4,1,1,1,1,1,0,5,2,3,1,1,0,0,0,2,1,2,2,0,0,0,0,3,1,1
,MCZ39631_Oxynotus_centrina _mircofossil_A.tif,MCZ29631,Oxynotus,Centina,mircofossil,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
