Type,Full_File_Name,Age,Depth,Site,Sample #,Object #,Slide Hole,Notes on Coding,Ichthyolith Type,Shape,Spades,Anterior shape (old Base),Anterior Marginal Macro Texture,Anterior Marginal Micro Texture,Posterior shape (old Tip),Posterior Marginal Macro Texture,Posterior Marginal Micro Texture Description,Planes of Symmetry,# of cusps,Cusps definition,Cusp Similarity,Cusp Relative Length,Ridge System,Number of ridge segments,Number of independent ridges,Ridge Outgrowths,Ridge Orientation,Central Ridge(s) or trough Disparity,Central Ridge Directionality,Central Ridge Width,Non-Central Ridge Directionality,Non-Central Ridge Width,Central Ridge System Shape,Central Ridge System Shape planes of symmetry,Ridge length,Ridge Definition,Ridge/Ridge Height,Ridge/Trough Angularity,# of depression,Depression(s) type,Location of depression,Shape of dimple(s),Secondary Ridge Features,Overall base shape,Base width/length,Crown to base ratio,Number of grooves,Root foramen opening shape,Root foramen location,Peduncle height:width,Crown:root angle,Base to crown connection location,Mound,Notes,Numerical Only Code (autofills),Ichthyolith Type,Shape,Spades,Anterior shape (old Base),Anterior Marginal Macro Texture,Anterior Marginal Micro Texture,Posterior shape (old Tip),Posterior Marginal Macro Texture,Posterior Marginal Micro Texture Description,Planes of Symmetry,# of cusps,Cusps definition,Cusp Similarity,Cusp Relative Length,Ridge System,Number of ridge segments,Number of independent ridges,Ridge Outgrowths,Ridge Orientation,Central Ridge(s) or trough Disparity,Central Ridge Directionality,Central Ridge Width,Non-Central Ridge Directionality,Non-Central Ridge Width,Central Ridge System Shape,Central Ridge System Shape planes of symmetry,Ridge length,Ridge Definition,Ridge/Ridge Height,Ridge/Trough Angularity,# of depression,Depression(s) type,Location of depression,Shape of dimple(s),Secondary Ridge Features,Overall base shape,Mound,Base width/length,Crown to base ratio,Number of Grooves,Root foramen opening shape,Root foramen location,Peduncle height:width,Crown:root angle,Base to crown connection location
Type,Full_File_Name,Age,Depth,Site,SampleNumber,Object #,Slide Hole,Notes for Leah,Z1,A1,A2,B1,B2,B3,C1,C2,C3,D1,E1,E2,E3,E4,F1,G1,G2,G3,H1,I1,I2,I3,J1,J2,K1,K2,L1,L2,L3,L4,M1,M2,M3,M4,N1,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,Notes,,Z1,A1,A2,B1,B2,B3,C1,C2,C3,D1,E1,E2,E3,E4,F1,G1,G2,G3,H1,I1,I2,I3,J1,J2,K1,K2,L1,L2,L3,L4,M1,M2,M3,M4,N1,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
,93_U1553C_18R_1W_22-26cm_N1of1_Z200x_obj00001_plane000.tif,,372.58,U1553,93,1,1,,Z1.4.Excess image/artifact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93_U1553C_18R_1W_22-26cm_N1of1_Z200x_obj00002_plane000.tif,,372.58,U1553,93,2,1,,Z1.4.Excess image/artifact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93_U1553C_18R_1W_22-26cm_N1of1_Z200x_obj00003_plane000.tif,,372.58,U1553,93,3,1,,Z1.4.Excess image/artifact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93_U1553C_18R_1W_22-26cm_N1of1_Z200x_obj00004_plane000.tif,,372.58,U1553,93,4,1,,Z1.4.Excess image/artifact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93_U1553C_18R_1W_22-26cm_N1of1_Z200x_obj00005_plane000.tif,,372.58,U1553,93,5,1,,Z1.4.Excess image/artifact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93_U1553C_18R_1W_22-26cm_N1of1_Z200x_obj00006_plane000.tif,,372.58,U1553,93,6,1,,Z1.4.Excess image/artifact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93_U1553C_18R_1W_22-26cm_N1of1_Z200x_obj00007_plane000.tif,,372.58,U1553,93,7,1,,Z1.4.Excess image/artifact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93_U1553C_18R_1W_22-26cm_N1of1_Z200x_obj00008_plane000.tif,,372.58,U1553,93,8,1,,Z1.4.Excess image/artifact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93_U1553C_18R_1W_22-26cm_N1of1_Z200x_obj00009_plane000.tif,,372.58,U1553,93,9,1,,Z1.4.Excess image/artifact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
