"1","2","ObjectA","ObjectB","dist.sum","dist.avg","traits.length","objID.A","objID.B"
1,2,1,2,6.41666666666667,0.256666666666667,25,"Airplane","Angular Edged Diamond"
1,3,1,3,7.91666666666667,0.344202898550725,23,"Airplane","Angular Straight Edge"
1,4,1,4,5.66666666666667,0.202380952380952,28,"Airplane","Arrowhead"
1,5,1,5,12,0.5,24,"Airplane","Asymmetrical Criss Cross"
1,6,1,6,9.46666666666667,0.394444444444444,24,"Airplane","Asymmetrical Kite with Oval Center"
1,7,1,7,10.0333333333333,0.418055555555556,24,"Airplane","Asymmetrical Kite with Ridged Mound"
1,8,1,8,6.25,0.223214285714286,28,"Airplane","Big Three Ridge"
1,9,1,9,7,0.25,28,"Airplane","Bilateral Fan"
1,10,1,10,10.05,0.41875,24,"Airplane","Bilateral Polygon"
1,11,1,11,9.41666666666667,0.409420289855072,23,"Airplane","Bilateral Single Ridged"
1,12,1,12,7.33333333333333,0.318840579710145,23,"Airplane","Bilateral Single Ridged Arrowhead"
1,13,1,13,6,0.214285714285714,28,"Airplane","Bottom Bulbed Three Ridged Petal"
1,14,1,14,10.8333333333333,0.451388888888889,24,"Airplane","Branching and Flared Chunk"
1,15,1,15,9.66666666666667,0.439393939393939,22,"Airplane","Branching Dust Pan"
1,16,1,16,9.75,0.40625,24,"Airplane","Branching Fan"
1,17,1,17,3.41666666666667,0.569444444444444,6,"Airplane","Branching Fragment"
1,18,1,18,8.91666666666667,0.342948717948718,26,"Airplane","Branching Triangle"
1,19,1,19,9.08333333333333,0.363333333333333,25,"Airplane","Bunny Ears"
1,20,1,20,9.33333333333333,0.583333333333333,16,"Airplane","Caldera Diamond"
1,21,1,21,7.16666666666667,0.311594202898551,23,"Airplane","Central Ridged Diamond"
1,22,1,22,6.51666666666667,0.232738095238095,28,"Airplane","Central Ridged Extended Trident"
1,23,1,23,6.58333333333333,0.286231884057971,23,"Airplane","Central Ridged Petal"
1,24,1,24,7.93333333333333,0.377777777777778,21,"Airplane","Central Ridged Textured Circle"
1,25,1,25,6.91666666666667,0.266025641025641,26,"Airplane","Central Ridged Triangle"
1,26,1,26,6.58333333333333,0.235119047619048,28,"Airplane","Central Seven Ridged Extended Trident"
1,27,1,27,6.58333333333333,0.235119047619048,28,"Airplane","Central Troughed Petal"
1,28,1,28,10.05,0.558333333333333,18,"Airplane","Cheeky"
1,29,1,29,7.41666666666667,0.264880952380952,28,"Airplane","Chubby Trident"
1,30,1,30,7.75,0.298076923076923,26,"Airplane","Circular Petal"
1,31,1,31,9.25,0.385416666666667,24,"Airplane","Circular tipping spine"
1,32,1,32,7.38333333333333,0.283974358974359,26,"Airplane","Complex Central Ridged Triangle"
1,33,1,33,7.66666666666667,0.319444444444444,24,"Airplane","Cracked Kite"
1,34,1,34,7.58333333333333,0.291666666666667,26,"Airplane","Crinkle Tops"
1,35,1,35,9.96666666666667,0.622916666666667,16,"Airplane","Cruciform Arrow"
1,36,1,36,7.66666666666667,0.273809523809524,28,"Airplane","Dagger"
1,37,1,37,9.46666666666667,0.394444444444444,24,"Airplane","Diamond Kite"
1,38,1,38,12.1666666666667,0.506944444444444,24,"Airplane","Double Dimpled Hexagon"
1,39,1,39,7.58333333333333,0.270833333333333,28,"Airplane","Eared Trident"
1,40,1,40,7.58333333333333,0.329710144927536,23,"Airplane","Elephant"
1,41,1,41,6.66666666666667,0.277777777777778,24,"Airplane","Elongated Asymmetrical"
1,42,1,42,7.83333333333333,0.326388888888889,24,"Airplane","Extended Central Long Troughed Petal"
1,43,1,43,7.75,0.31,25,"Airplane","Extended Central Ridged and Textured Trident"
1,44,1,44,7.33333333333333,0.282051282051282,26,"Airplane","Extended Central Troughed Petal"
1,45,1,45,6.83333333333333,0.262820512820513,26,"Airplane","Extended Forked Arrow"
