"Morphotype","Slide.number.info","Z1","Z2","A1","A2","A3","A4","B1","B2","B3","C1","C2","C3","D1","D2","E1","E2","E3","E4","E5","E6","E7","E8","E9","F1","F2","F3","F4","F5","F6","F7","F8","G2","G3","G4","G5","G6","G7","G8","H1","H2","H3","H4","I1","I2","I3","I4","J1","J2","J3","J4","K1","L1","L2","M1","M2","X","Z1.1","Z2.1","A1.1","A2.1","A3.1","A4.1","B1.1","B2.1","B3.1","C1.1","C2.1","C3.1","D1.1","D2.1","E1.1","E2.1","E3.1","E4.1","E5.1","E6.1","E7.1","E8.1","E9.1","F1.1","F2.1","F3.1","F4.1","F5.1","F6.1","F7.1","F8.1","G2.1","G3.1","G4.1","G5.1","G6.1","G7.1","G8.1","H1.1","H2.1","H3.1","H4.1","I1.1","I2.1","I3.1","I4.1","J1.1","J2.1","J3.1","J4.1","K1.1","L1.1","L2.1","M1.1","M2.1","MDS1","MDS2","MDS3"
"squat convex triangle",4,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.3.Deep","A3.1.Triangle","A4.3.Convex","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.1.Small","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.1.Small","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.3.Wide","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,1,3,1,3,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,1,4,5,1,1,1,0,1,4,5,1,1,1,0,1,0,0,0,0,0,0,0,5,3,1,0,1,0,0,2,1,-0.100172956285604,-0.0484446082451813,0.086647197662169
"Squat Concave Root",6,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.3.Large","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.3.Large","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.2.Medium","J3.2.Concave","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,1,1,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,3,4,5,1,1,1,0,3,4,5,1,1,1,0,1,0,0,0,0,0,0,0,4,2,2,0,1,0,0,2,1,-0.18687467956315,-0.0504837486333295,0.0220049124364538
"Pot-bellied squat triangle",7,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.3.Deep","A3.1.Triangle","A4.3.Convex","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.2.Medium","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.2.Medium","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.3.Wide","J3.4.Dome","J4.0.Rootless/no modifiers or too broken to code","K1.2.Flared","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,1,3,1,3,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,4,5,1,1,1,0,2,4,5,1,1,1,0,1,0,0,0,0,0,0,0,4,3,4,0,2,0,0,2,1,-0.127071960838028,-0.108843608044815,0.0958957688163281
"Squat convex triangle dome root",8,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.3.Deep","A3.1.Triangle","A4.3.Convex","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.1.Small","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.1.Small","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.3.Wide","J3.4.Dome","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,1,3,1,3,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,1,4,5,1,1,1,0,1,4,5,1,1,1,0,1,0,0,0,0,0,0,0,4,3,4,0,1,0,0,2,1,-0.0891298330470471,-0.0859950099828354,0.052146209357368
"Squat triangle 1/2 dome root",9,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.2.Mid-depth","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.2.Medium","F3.3.Lower","F4.4.(3/4)","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.2.Medium","G3.3.Lower","G4.4.(3/4)","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.3.Wide","J3.4.Dome","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,1,2,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,3,4,1,1,1,0,2,3,4,1,1,1,0,1,0,0,0,0,0,0,0,4,3,4,0,1,0,0,2,1,-0.120236689726916,-0.0906278303497923,-0.0401561117275378
"squat dome root cap tip",10,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.2.Mid-depth","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.1.Small","F3.3.Lower","F4.4.(3/4)","F5.4.Bottom-heavy (flared)","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.1.Small","G3.3.Lower","G4.4.(3/4)","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.3.Wide","J3.4.Dome","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.2.Cap tip",0,1,1,1,2,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,1,3,4,4,1,1,0,1,3,4,4,1,1,0,1,0,0,0,0,0,0,0,5,3,4,0,1,0,0,2,2,-0.11957014918674,-0.158848470175927,-0.0486559441686439
"Squat total root",11,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.2.Mid-depth","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.1.Small","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.1.Small","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.4.Total","J3.7.Flat-top","J4.0.Rootless/no modifiers or too broken to code","K1.2.Flared","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.3.Rim tip",0,1,1,1,2,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,1,4,5,1,1,1,0,1,4,5,1,1,1,0,1,0,0,0,0,0,0,0,5,4,7,0,2,0,0,2,3,-0.149161341499576,-0.132503651941878,0.13977887474937
"Two part squat triangle",12,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.2.Mid-depth","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.2.Two-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.4.Total","J3.7.Flat-top","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.3.(1/2)","L2.1.Straight","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,1,2,1,1,1,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,7,0,1,3,1,1,1,0.00827094172000445,-0.0400001764311528,-0.187276032250306
"1/2 straight root",13,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.2.Medium","F3.3.Lower","F4.4.(3/4)","F5.4.Bottom-heavy (flared)","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.2.Medium","G3.3.Lower","G4.4.(3/4)","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.2.Medium","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,2,1,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,3,4,4,1,1,0,2,3,4,4,1,1,0,1,0,0,0,0,0,0,0,4,2,1,0,1,0,0,1,1,-0.15228791680159,-0.00832237737623253,-0.0937001271076547
"1/2 straight root convex triangle",16,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.1.Flat","A3.1.Triangle","A4.3.Convex","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.2.Medium","F3.3.Lower","F4.4.(3/4)","F5.4.Bottom-heavy (flared)","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.2.Medium","G3.3.Lower","G4.4.(3/4)","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.2.Medium","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,2,1,1,3,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,3,4,4,1,1,0,2,3,4,4,1,1,0,1,0,0,0,0,0,0,0,4,2,1,0,1,0,0,2,1,-0.180995236506403,-0.0336085224324246,-0.0890314599055293
